id;soru;cevap;kategori
909;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
910;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
911;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
912;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
913;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
914;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
915;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
916;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
917;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
918;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
919;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
920;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
921;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
922;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
923;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
924;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
925;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
926;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
927;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
928;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
929;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
930;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
931;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
932;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
933;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
934;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
935;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
936;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
937;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
938;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
939;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
940;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
941;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
942;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
943;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
944;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
945;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
946;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
947;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
948;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
949;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
950;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
951;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
952;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
953;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
954;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
955;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
956;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
957;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
958;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
959;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
960;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
961;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
962;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
963;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
964;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
965;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
966;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
967;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
968;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
969;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
970;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
971;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
972;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
973;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
974;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
975;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
976;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
977;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
978;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
979;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
980;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
981;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
982;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
983;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
984;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
985;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
986;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
987;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
988;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
989;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
990;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
991;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
992;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
993;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
994;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
995;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
996;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
997;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
998;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
999;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
1000;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
